	Myeloid.cells	T.NK.cells	B.lymphocytes	Fibroblasts	Endothelial.cells	MAST.cells	Epithelial.cells
STOM	0.72835762	0.180887297	0.033802581	0.753568709	2.439175725	0.085473802	1.464748822
STX11	1.196200277	0.125523091	0.091881822	0.033053248	0.09930117	0.511897193	0.106314459
STX3	0.167962567	0.017940774	0.019887701	0.099598543	0.15224202	0.440766906	0.528567331
STXBP6	0.004453704	0.002352955	0.008978734	0.028750026	0.57164954	0.428888714	0.027963562
SVOPL	0.002614989	0.000470862	6.28E-05	0.000559426	0.001254212	0.415343886	0.010632919
SYAP1	0.636091653	0.303871745	0.247855357	0.378480329	0.236498638	0.738153837	0.870301157
SYNE2	0.047743386	0.339850054	0.099603725	0.166838568	0.852635312	0.013403535	0.748279539
TACSTD2	0.308005324	0.047488847	0.076680441	0.122378432	0.262411846	0.039389912	8.45768289
TAF1D	0.605584094	0.370714905	0.692608585	0.762743829	0.632167017	0.349700608	1.417651441
TAGAP	0.423426837	0.264604398	0.457822041	0.024223982	0.034658677	0.053851321	0.034287683
TAGLN	0.16887885	0.013509635	0.029904195	13.3543141	0.46068231	0.021806416	0.125527275
TBC1D10C	0.249586547	0.502164559	0.272633311	0.023353051	0.011987749	0.089219666	0.038919866
TCEA1	0.563384894	0.27940719	0.612641081	0.729816983	0.472381017	0.411475687	1.340148221
TCF21	0.005026507	0.001548502	0.002511732	1.649509023	0.002681058	0.002662023	0.00876232
TCF4	0.34697649	0.005748948	0.488746437	1.95706832	3.967305157	0.012996569	0.061469004
TCF7	0.111803865	0.264185997	0.119156922	0.27895604	0.089365205	0.127655469	0.182266715
TERF2IP	0.531897619	0.514489443	0.376459112	0.954938275	0.771208499	0.358661684	0.606875284
TESC	0.05893387	0.090659665	0.063857342	0.165708776	0.238223804	0.457878835	0.573205822
TFPI	0.063893811	0.017445172	0.024810069	1.516470613	3.233547156	0.02077613	2.281893722
TFPI2	0.076739961	0.028417966	0.025935366	0.341817476	0.134478213	0.022856758	1.300143503
TGFBI	2.66367537	0.026709918	0.020317622	1.366197981	0.061874757	0.012640098	0.536078164
TGFBR2	0.442897342	0.082293659	0.083224142	0.464290639	1.522933662	0.072098871	0.561505238
TGM2	0.743732109	0.008953417	0.025427526	2.667819393	1.932943457	0.00862575	0.797684345
THBS2	0.004383975	0.000883109	0.002621707	1.84880267	0.001276045	0.00077036	0.007155204
THY1	0.011310833	0.004532251	0.004894635	4.595829113	0.349434091	0.000755365	0.008534214
TIE1	0.003201263	0.000752834	0.000458798	0.016614266	1.112090878	0.052219887	0.003960075
TIGIT	0.034154024	0.495083546	0.030587587	0.015097359	0.011310972	0.004612707	0.024480191
TIMP1	5.531049846	0.330743811	0.426124406	46.01196655	11.67201974	1.967373448	5.058272573
TIMP2	1.194866133	0.01513131	0.023908442	2.056696482	0.48581874	0.015059662	0.692900335
TIMP3	0.068070573	0.009375587	0.015489743	6.32133344	2.995574564	0.404098565	0.892049823
TINAGL1	0.007839735	0.001730353	0.002248071	0.386859609	1.146709814	0.053338182	0.234432164
TIPARP	0.469183314	0.167610486	0.083746252	0.206179863	0.26643634	0.561410501	1.001252231
TM4SF1	0.146062846	0.067043057	0.098427456	1.154518491	9.687489793	0.060752879	6.932822554
TM4SF18	0.001688599	4.97E-05	0.000529052	0.000768999	1.048910576	0.001784543	0.030485836
TMC5	0.01217028	0.006121574	0.003358188	0.012035267	0.008502104	0.007781334	1.695469327
TMEM100	0.002715246	0.001025663	0.001254243	0.164735201	0.670672106	0.00209503	0.080993439
TMEM176A	1.704599492	0.009790066	0.013933623	2.887281224	0.125851939	0.409067056	0.583479788
TMEM176B	2.880255682	0.015509933	0.028037596	3.636804457	0.170132784	1.094610928	0.58154575
TMEM233	0.001415043	0.001545735	0.000315627	0.010349379	0.189657086	0.581699982	0.016090984
TMEM243	0.484570678	0.225318055	0.562447733	0.365692322	0.314970352	0.06947199	1.360862957
TNFAIP3	2.295104084	1.716106291	0.332275291	0.631995113	0.491841808	1.030961996	0.671973361
TNFRSF12A	0.229986606	0.033967723	0.044782226	1.14135164	0.175849384	0.30242014	2.172033057
TNFRSF13B	0.007860231	0.012709474	0.489470144	0.002992343	0.002681058	0.001769547	0.015084838
TNFRSF13C	0.011124065	0.008926156	0.62847915	0.008965471	0.002944609	0.002874522	0.017293079
TNFRSF1B	0.633412615	0.427844742	0.089187173	0.117040973	0.18248975	0.01553544	0.089514899
TNFSF10	0.399562536	0.144659509	0.080481018	0.399848621	4.215123647	0.860316166	2.012238635
TNFSF13B	1.75925425	0.076889663	0.025346508	1.16447102	0.030314192	0.006860172	0.063307998
TPD52	0.152265525	0.092303407	0.610918499	0.027295878	0.178482581	0.01074995	0.967830506
TPM1	0.237612758	0.033106274	0.02316602	4.612140947	0.774920396	0.24878323	2.632056388
TPM2	0.06188821	0.007379508	0.011323997	6.314323658	0.167902456	0.006864563	0.112712927
TPSAB1	0.142941623	0.014395308	0.065128172	0.080414646	0.080672979	69.70609228	0.427647933
TPSB2	0.36892086	0.055494756	0.155463839	0.257814133	0.208945918	130.1291751	0.915418828
TRAC	0.288316152	4.521507597	0.341176799	0.266791887	0.197216903	0.089263805	0.152000973
TRAF3IP3	0.148714095	0.369868153	0.226467269	0.015526987	0.004198822	0.211224068	0.026238427
TRBC1	0.214125735	2.35716421	0.082609348	0.094785588	0.066838877	0.048554879	0.126612107
TRBC2	0.228808059	2.295010141	0.306562064	0.091474545	0.082242534	0.063692666	0.159315477
TRDC	0.010141806	0.146764391	0.003237032	0.052150664	0.009930107	0.004629897	0.011403975
TREM1	2.09805357	0.015010273	0.026033928	0.05290977	0.0239707	0.009874749	0.69747371
TREM2	2.99822828	0.009896064	0.014785488	0.018567727	0.038618759	0.018191038	0.050125765
TSC22D1	0.376427255	0.032858169	0.05746339	2.6130902	2.831010286	1.030805472	2.240492512
TSC22D3	1.581395089	2.318480828	4.100092903	1.577990786	0.99201864	1.72153648	1.666315904
TSPAN13	0.13741425	0.025684175	0.200506371	0.145505466	1.236712549	0.018344825	3.570755367
TSPAN7	0.009989036	0.000724613	0.001791745	0.04922905	1.32914079	0.029636547	0.107900101
TSPO	8.590455467	0.689417118	0.470391696	1.34910344	2.248124709	1.158230281	3.194561371
TUBA1A	1.647965867	0.574745394	0.505300806	4.869933135	2.66910511	2.826014003	1.263979495
TUBA1B	9.468647401	1.167934552	1.134128939	4.679229388	3.348157738	2.238177491	3.256666108
TUBA4A	0.140129487	0.742573775	0.384891403	0.067307851	0.157224502	0.046376601	0.749796747
TWISTNB	0.819909786	0.151003077	0.254644226	0.377771795	0.290080709	0.735825662	0.374941551
TXNDC17	1.064934024	0.214580321	0.213989728	0.657277435	0.697373165	0.168247629	4.446771878
TYMP	7.931042959	0.417911821	0.961163218	2.047374833	0.463896157	0.407179072	2.13439009
TYROBP	30.76839005	0.374887431	0.233850159	0.356334912	0.414008095	3.331569195	0.800468625
UACA	0.079035081	0.001770077	0.005799448	0.785634135	1.075948104	0	0.034558185
UBE2J1	0.596487735	0.123600095	0.861098291	0.376665274	1.194158738	0.172374974	0.51674598
UCP2	2.133043644	0.663122333	0.767742165	0.100362667	0.139641342	0.271674699	0.964229335
UPK3B	0.001162272	0.000313922	0.000133538	0.1381452	0	0.000755365	0.077695554
VAMP2	0.715334016	0.826258931	0.847252092	1.256999631	0.986338781	0.60275731	1.422446733
VAMP5	1.454526839	0.312324054	0.275717684	1.984841557	4.385389908	0.279459602	0.78688915
VAPA	1.966158873	0.429105526	0.478751721	1.473044253	1.643218789	1.395838118	3.102253022
VCAN	0.685725796	0.002634964	0.00753012	3.281868268	0.036325705	0.004292914	0.379249307
VIM	39.64139782	4.346641497	3.225894658	28.66436013	29.1740696	15.89666423	3.839750301
VPREB3	0.017726142	0.004799757	1.415062536	0.015037806	0.004976729	0.010703717	0.038506852
VSIG4	3.013570227	0.011895465	0.021840862	0.017199592	0.034453386	0.011645888	0.053412503
VWA1	0.012196096	0.003884091	0.00503902	0.205365251	1.744633739	0.002179282	0.987052242
VWA5A	0.129414427	0.012965886	0.009759536	0.173782418	0.022408414	2.095757709	0.22302002
VWF	0.014538576	0.00270093	0.004842792	0.011878166	7.260998104	0.002148269	0.011219937
WARS	0.620077156	0.028391414	0.098871123	0.277159545	0.924706061	0.115022718	0.554547038
WDR74	0.215687332	0.179300354	0.361828984	0.228808019	0.165858078	0.089939399	0.374686628
WFDC2	0.310684263	0.16154248	0.215203936	0.412126649	0.188479596	0.123849876	26.92034098
WIPF1	0.856921303	0.608682462	0.42008668	0.23352532	0.345800498	0.201221329	0.108613761
WSB1	1.404533125	0.382289969	0.424985392	1.94238714	2.00040854	0.551606113	7.003787941
WWTR1	0.042022067	0.00593084	0.005624943	0.336776331	1.450507716	0.002058239	0.735676074
XBP1	1.112572079	0.339922082	3.116082943	1.05385973	0.513447445	0.529785802	2.786303341
XCL1	0.017145014	0.155754771	0.012019289	0.001654754	0.009151043	0.003761721	0.008374947
YBX3	1.111695218	0.065846426	0.136650229	2.032375698	3.465958435	0.102642041	3.192441143
YPEL5	1.221052004	1.352915619	2.242339046	0.592822827	0.484527808	0.369644181	1.431000931
YWHAH	2.996175852	0.184048027	0.229061163	0.830349187	1.380353733	0.177404814	1.161852155
ZFP36	6.270260662	2.938874612	2.952385711	8.823733054	9.453597463	5.214292508	6.589362215
ZFP36L1	3.080878141	0.61572665	0.946665922	5.450785399	2.216813771	0.528253154	11.13729641
ZFP36L2	2.511243068	4.463479567	2.280737429	3.799764385	2.424422608	0.503458424	1.534603009
ZNF331	1.521063518	0.93669061	1.112081981	0.315542404	0.201488347	1.381386295	0.29236301
